Reference, Value, Footprint, Datasheet, buy, price, Field5
C1,10uf,Discret:C1V8,
U1,LD1117AV33,Power_Integrations:TO-220,http://www.farnell.com/datasheets/1732936.pdf,http://fr.farnell.com/stmicroelectronics/ld1117av33/regulateur-ldo-3-3v-1117-to-220/dp/1087165?ost=LD1117AV33&selectedCategoryId=&categoryNameResp=Toutes%2Bles%2Bcat%25C3%25A9gories,0.538,
R1,500,Discret:R4,
D1,LED rouge,LEDs:LED-5MM,
R2,330,Discret:R4,
D2,LED rouge,LEDs:LED-5MM,
P2,CONN_02X03,Pin_Headers:Pin_Header_Straight_2x03,http://www.farnell.com/datasheets/1712126.pdf,http://fr.farnell.com/harwin/m20-9980346/embase-2-rangees-3-voies/dp/1022231,0.158,
P1,USB_OTG,Connect:USB_Mini-B,http://www.farnell.com/datasheets/2038798.pdf,http://fr.farnell.com/molex/67503-1020/embase-mini-usb-2-0-otg-type-b/dp/1125348,0.469,
AFF1,HDSP-B04E,Displays_7-Segment:Cx56-12,http://www.farnell.com/datasheets/95222.pdf,http://fr.farnell.com/broadcom-limited/hdsp-b04e/module-horloge-0-56-4-dig-rouge/dp/1003346?ost=HDSP-B04E&selectedCategoryId=&categoryNameResp=Toutes%2Bles%2Bcat%25C3%25A9gories,3.47,
R10,300,Discret:R4,
R3,300,Discret:R4,
R4,300,Discret:R4,
R5,300,Discret:R4,
R9,300,Discret:R4,
R8,300,Discret:R4,
R7,300,Discret:R4,
R6,300,Discret:R4,
R18,1300,Discret:R4,
R17,1300,Discret:R4,
R16,1300,Discret:R4,
R15,1300,Discret:R4,
R14,10k,Discret:R4,
R13,10k,Discret:R4,
R12,10k,Discret:R4,
R11,10k,Discret:R4,
Q1,PNP BC557BTF,TO_SOT_Packages_THT:TO-92_Molded_Narrow,http://www.farnell.com/datasheets/2016215.pdf,http://fr.farnell.com/fairchild-semiconductor/bc557btf/transistor-bipol-pnp-45v-to-92/dp/2453805,0.054,
Q2,PNP BC557BTF,TO_SOT_Packages_THT:TO-92_Molded_Narrow,http://www.farnell.com/datasheets/2016215.pdf,http://fr.farnell.com/fairchild-semiconductor/bc557btf/transistor-bipol-pnp-45v-to-92/dp/2453805,0.054,
Q3,PNP BC557BTF,TO_SOT_Packages_THT:TO-92_Molded_Narrow,http://www.farnell.com/datasheets/2016215.pdf,http://fr.farnell.com/fairchild-semiconductor/bc557btf/transistor-bipol-pnp-45v-to-92/dp/2453805,0.054,
Q4,PNP BC557BTF,TO_SOT_Packages_THT:TO-92_Molded_Narrow,http://www.farnell.com/datasheets/2016215.pdf,http://fr.farnell.com/fairchild-semiconductor/bc557btf/transistor-bipol-pnp-45v-to-92/dp/2453805,0.054,
D3,LED alarm,LEDs:LED-5MM,
X1,PKM22EPPH4002-B0,Buzzers_Beepers:BUZZER,http://www.farnell.com/datasheets/1851881.pdf,http://fr.farnell.com/murata/pkm22epph4002-b0/buzzer-piezo-4khz-drive-ext/dp/2443202?ost=PKM22EPPH4002-B0&selectedCategoryId=&categoryNameResp=Toutes%2Bles%2Bcat%25C3%25A9gories,0.634,
R19,1000,Discret:R4,
SW5,SW_PUSH,Buttons_Switches_ThroughHole:SW_PUSH_SMALL,
SW4,SW_PUSH,Buttons_Switches_ThroughHole:SW_PUSH_SMALL,
SW3,SW_PUSH,Buttons_Switches_ThroughHole:SW_PUSH_SMALL,
SW2,SW_PUSH,Buttons_Switches_ThroughHole:SW_PUSH_SMALL,
SW1,SW_PUSH,Buttons_Switches_ThroughHole:SW_PUSH_SMALL,
R24,10k,Discret:R4,
R23,10k,Discret:R4,
R22,10k,Discret:R4,
R21,10k,Discret:R4,
R20,10k,Discret:R4,
SW7,OS102011MS2QS1,foot:OS102011MS2QS1,http://www.farnell.com/datasheets/1839844.pdf,http://fr.farnell.com/c-k-components/os102011ms2qs1/commut-emission-laterale-shorting/dp/2435105,0.385,
U2,STM32F030K6,Housings_QFP:LQFP-32_7x7mm_Pitch0.8mm,http://www.farnell.com/datasheets/1883133.pdf,http://fr.farnell.com/stmicroelectronics/stm32f030k6t6/mcu-32-bits-cortex-m0-48mhz-lqfp/dp/2432085?ost=STM32F030K6&selectedCategoryId=&categoryNameResp=Toutes%2Bles%2Bcat%25C3%25A9gories,1.30,
SW8,SW_PUSH,Buttons_Switches_ThroughHole:SW_PUSH_SMALL,
C2,0.1uf,Capacitors_ThroughHole:C_Disc_D3_P2.5,
C6,100nf,Capacitors_ThroughHole:C_Disc_D3_P2.5,
C7,4.7uf,Capacitors_SMD:C_0603_HandSoldering,,http://fr.farnell.com/multicomp/mc0603x475k6r3ct/condensateur-mlcc-x5r-4-7uf-6/dp/2320811?selectedCategoryId=&exaMfpn=true&categoryId=&searchRef=SearchLookAhead,,0.0514
C8,4.7uf,Capacitors_SMD:C_0603_HandSoldering,
C9,100nf,Capacitors_ThroughHole:C_Disc_D3_P2.5,
C5,100nf,Capacitors_ThroughHole:C_Disc_D3_P2.5,
C10,100nf,Capacitors_ThroughHole:C_Disc_D3_P2.5,
C11,10nf,Capacitors_ThroughHole:C_Disc_D3_P2.5,
C12,1uf,Capacitors_ThroughHole:C_Disc_D6_P5,http://www.farnell.com/datasheets/1723229.pdf,http://fr.farnell.com/multicomp/mcmlr50v105my5v/condensateur-ceramique-y5v-1uf/dp/2112910,,0.428
P3,CONN_02X02,Pin_Headers:Pin_Header_Straight_2x02,http://www.farnell.com/datasheets/683533.pdf,http://fr.farnell.com/global-connector-technology/bg040-04-a-0450-0300-n-g/board-board-connector-header-4way/dp/1798962?ost=XG8T-0441&selectedCategoryId=&categoryNameResp=Toutes%2Bles%2Bcat%25C3%25A9gories,0.175,
P4,CONN_01X05,Pin_Headers:Pin_Header_Straight_1x05,http://www.harwin.com/include/downloads/drawings/M20-999.PDF,http://fr.farnell.com/harwin/m20-9990546/embase-1-rangee-5-voies/dp/1022253,0.121,
C3,22pf,Capacitors_ThroughHole:C_Disc_D3_P2.5,
C4,22pf,Capacitors_ThroughHole:C_Disc_D3_P2.5,
Y1,8.0MHZ,Crystals:Crystal_HC49-U_Vertical,,http://fr.farnell.com/fox-electronics/foxslf-080-20/crystal-8-0mhz-20pf/dp/2063945,0.412,
P6,CONN_01X08,Pin_Headers:Pin_Header_Straight_1x08,
P8,CONN_01X08,Pin_Headers:Pin_Header_Straight_1x08,
P5,CONN_01X08,Pin_Headers:Pin_Header_Straight_1x08,
P7,CONN_01X08,Pin_Headers:Pin_Header_Straight_1x08,
